P,SCORE,VM,MODE,SEX
135,53,-1,-1,2
136,46,-1,-1,2
137,54,-1,-1,2
138,57,-1,-1,2
139,56,-1,-1,2
140,73,-1,-1,2
141,61,-1,-1,2
142,51,-1,-1,2
143,56,-1,-1,2
144,42,-1,-1,2
145,55,-1,-1,2
146,46,-1,-1,2
147,54,-1,-1,2
148,54,-1,-1,2
149,55,-1,-1,2
150,52,-1,-1,2
151,55,-1,-1,2
152,55,-1,-1,2
153,63,-1,-1,2
154,60,-1,-1,2
155,56,-1,-1,2
156,55,-1,-1,2
157,54,-1,-1,2
158,57,-1,-1,2
159,47,-1,-1,2
160,53,-1,-1,2
161,58,-1,-1,2
162,63,-1,-1,2
163,62,-1,-1,2
164,50,-1,-1,2
165,64,-1,-1,2
166,54,-1,-1,2
167,50,-1,-1,2
168,43,-1,-1,2
169,62,-1,-1,2
170,45,-1,-1,2
1,63,1,1,1
2,58,1,1,1
3,48,1,1,1
4,43,1,1,1
5,53,1,1,1
6,50,1,1,1
7,50,1,1,1
8,50,1,1,1
9,56,1,1,1
10,47,1,1,1
11,55,1,1,1
12,62,1,1,1
13,48,1,1,1
14,59,1,1,1
15,60,1,1,1
16,59,1,1,1
17,52,1,1,1
18,51,1,1,1
19,37,1,1,1
20,51,1,1,1
21,39,1,1,1
22,47,1,1,1
23,53,1,1,1
24,40,1,1,1
25,49,1,1,1
26,44,1,1,1
27,44,1,1,1
28,55,1,1,1
29,55,1,1,1
30,54,1,1,1
31,58,1,1,1
32,54,1,1,1
33,44,1,1,1
34,54,1,1,1
35,39,1,1,1
36,59,1,1,1
37,45,1,1,1
38,45,1,1,1
39,53,1,1,1
40,47,1,1,1
41,57,1,1,1
42,54,1,1,1
43,49,1,1,1
44,51,1,1,1
45,48,1,1,1
46,43,1,1,1
47,57,1,1,1
48,62,1,1,1
49,53,1,1,1
50,44,1,1,1
51,52,1,1,1
52,56,1,1,1
53,51,1,1,1
54,63,1,1,1
55,43,1,1,1
56,46,1,1,1
57,52,1,1,1
58,54,1,1,1
59,48,1,1,1
60,59,1,1,1
61,41,1,1,1
62,61,1,1,1
63,45,1,1,1
64,51,1,1,1
65,54,1,1,1
66,48,1,1,1
67,60,1,1,1
68,52,1,1,1
69,41,1,1,1
70,50,1,1,1
71,54,1,1,1
72,64,1,1,1
73,48,1,1,1
74,50,1,1,1
75,59,1,1,1
76,54,1,1,1
77,61,1,1,1
78,50,1,1,1
79,41,1,1,1
80,51,1,1,1
81,51,1,1,2
82,37,1,1,2
83,45,1,1,2
84,48,1,1,2
85,68,1,1,2
86,44,1,1,2
87,45,1,1,2
88,52,1,1,2
89,43,1,1,2
90,38,1,1,2
91,49,1,1,2
92,61,1,1,2
93,43,1,1,2
94,51,1,1,2
95,63,1,1,2
96,51,1,1,2
97,49,1,1,2
98,55,1,1,2
99,57,1,1,2
100,67,1,1,2
101,53,1,1,2
102,37,1,1,2
103,46,1,1,2
104,38,1,1,2
105,51,1,1,2
106,44,1,1,2
107,35,1,1,2
108,64,1,1,2
109,56,1,1,2
110,46,1,1,2
111,48,1,1,2
112,42,1,1,2
113,50,1,1,2
114,49,1,1,2
115,35,1,1,2
116,48,1,1,2
117,70,1,1,2
118,45,1,1,2
119,48,1,1,2
120,54,1,1,2
121,58,1,1,2
122,47,1,1,2
123,53,1,1,2
124,51,1,1,2
125,63,1,1,2
126,41,1,1,2
127,43,1,1,2
128,58,1,1,2
129,55,1,1,2
130,62,1,1,2
131,62,1,1,2
132,54,1,1,2
133,60,1,1,2
134,57,1,1,2
135,61,1,1,2
136,60,1,1,2
137,45,1,1,2
138,45,1,1,2
139,56,1,1,2
140,72,1,1,2
141,48,1,1,2
142,55,1,1,2
143,47,1,1,2
144,37,1,1,2
145,44,1,1,2
146,46,1,1,2
147,46,1,1,2
148,46,1,1,2
149,54,1,1,2
150,44,1,1,2
151,60,1,1,2
152,56,1,1,2
153,57,1,1,2
154,50,1,1,2
155,51,1,1,2
156,57,1,1,2
157,57,1,1,2
158,63,1,1,2
159,47,1,1,2
160,42,1,1,2
161,62,1,1,2
162,62,1,1,2
163,53,1,1,2
164,55,1,1,2
165,46,1,1,2
166,43,1,1,2
167,47,1,1,2
168,43,1,1,2
169,52,1,1,2
170,39,1,1,2
1,65,-1,1,1
2,66,-1,1,1
3,58,-1,1,1
4,67,-1,1,1
5,67,-1,1,1
6,60,-1,1,1
7,65,-1,1,1
8,58,-1,1,1
9,60,-1,1,1
10,61,-1,1,1
11,68,-1,1,1
12,68,-1,1,1
13,53,-1,1,1
14,59,-1,1,1
15,43,-1,1,1
16,52,-1,1,1
17,59,-1,1,1
18,62,-1,1,1
